,age,fnlwgt,educational-num,occupation,hours-per-week,income,capital-net,native-american,workclass_Other,workclass_Private,workclass_gov,workclass_other,marital-status_Married-civ-spouse,marital-status_Never-married,marital-status_Separated,race_Black,race_Other,race_White,male
36688,60,151369,14,0.21287436311668945,60,1,0,1,0,1,0,0,1,0,0,0,0,1,1
31085,32,348460,11,0.21287436311668945,50,0,0,1,0,1,0,0,1,0,0,0,0,1,1
40594,40,145441,13,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
47959,61,181081,9,0.3912087912087912,20,0,0,1,0,0,1,0,0,0,1,1,0,0,0
35030,22,71379,10,0.21287436311668945,35,0,0,1,0,1,0,0,0,1,0,0,0,1,0
19023,42,358677,9,0.21287436311668945,35,0,0,1,0,1,0,0,0,0,1,1,0,0,1
47487,51,192973,13,0.32516703786191536,40,1,0,1,1,0,0,0,1,0,0,1,0,0,1
19426,41,247752,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
17311,31,93106,11,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
33309,43,112181,11,0.21287436311668945,32,1,-1902,1,0,1,0,0,1,0,0,0,0,1,0
15690,52,114674,13,0.21287436311668945,52,1,0,1,0,1,0,0,1,0,0,0,0,1,1
11268,33,226296,9,0.21287436311668945,50,0,-1672,1,0,1,0,0,1,0,0,0,0,1,1
1336,38,245090,13,0.32516703786191536,50,1,0,1,1,0,0,0,1,0,0,0,0,1,1
35280,24,145964,13,0.21287436311668945,40,1,0,1,0,1,0,0,0,1,0,0,0,1,1
43976,41,108713,6,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1443,30,134639,13,0.21287436311668945,45,1,8614,1,0,1,0,0,0,1,0,0,0,1,1
28774,35,31964,13,0.21287436311668945,50,1,0,1,0,1,0,0,1,0,0,0,0,1,1
36660,61,72442,7,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
44376,33,73054,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
41222,48,497486,9,0.3912087912087912,40,0,1471,1,0,0,1,0,0,0,1,0,0,1,0
41402,37,178100,14,0.21287436311668945,40,1,0,1,0,1,0,0,0,1,0,0,0,1,0
6046,31,373903,13,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
37003,32,343872,10,0.32516703786191536,35,0,0,0,1,0,0,0,1,0,0,1,0,0,1
39476,25,257064,10,0.32516703786191536,38,0,0,1,1,0,0,0,1,0,0,1,0,0,1
4922,29,201954,11,0.21287436311668945,40,0,0,0,0,1,0,0,1,0,0,0,0,1,1
45379,37,292370,13,0.21287436311668945,50,1,0,0,0,1,0,0,1,0,0,0,1,0,1
34177,55,139843,9,0.21287436311668945,60,0,0,1,0,1,0,0,0,0,1,0,0,1,0
19025,43,128170,10,0.21287436311668945,40,1,7688,1,0,1,0,0,1,0,0,0,0,1,1
40248,46,191389,9,0.21287436311668945,28,1,0,1,0,1,0,0,1,0,0,0,0,1,0
25535,58,175873,10,0.3912087912087912,40,1,0,1,0,0,1,0,1,0,0,0,0,1,1
45161,53,73134,9,0.21287436311668945,60,1,15024,1,0,1,0,0,1,0,0,0,0,1,1
37949,42,337629,8,0.21287436311668945,60,1,0,0,0,1,0,0,1,0,0,1,0,0,1
35236,37,36214,13,0.32516703786191536,65,1,0,1,1,0,0,0,1,0,0,0,0,1,1
43493,56,156229,13,0.3912087912087912,40,1,7688,1,0,0,1,0,1,0,0,0,0,1,1
1342,32,137184,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
17666,45,127303,10,0.21287436311668945,45,0,0,1,0,1,0,0,0,1,0,0,0,1,1
42016,30,113364,9,0.21287436311668945,40,0,0,0,0,1,0,0,0,1,0,0,0,1,1
16052,63,175177,15,0.32516703786191536,35,1,0,1,1,0,0,0,1,0,0,0,0,1,1
10832,42,248406,14,0.32516703786191536,38,1,0,1,1,0,0,0,1,0,0,0,0,1,1
37711,52,35092,16,0.29697986577181207,40,1,0,1,0,0,0,1,1,0,0,0,0,1,1
23007,28,32291,13,0.21287436311668945,40,0,2174,1,0,1,0,0,0,1,0,0,0,1,0
46091,17,206998,7,0.21287436311668945,10,0,0,1,0,1,0,0,0,1,0,0,0,1,1
40236,31,144064,9,0.21287436311668945,48,1,0,1,0,1,0,0,1,0,0,0,0,1,1
30847,39,164733,10,0.21287436311668945,45,0,0,1,0,1,0,0,0,0,1,0,0,1,0
21325,55,31905,14,0.21287436311668945,40,1,-1977,1,0,1,0,0,1,0,0,0,0,1,1
36627,34,300681,10,0.21287436311668945,40,1,0,0,0,1,0,0,1,0,0,1,0,0,1
17328,23,217961,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
6247,37,255503,15,0.32516703786191536,55,1,0,1,1,0,0,0,0,1,0,0,0,1,1
3915,32,131584,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,1
7218,54,260833,10,0.32516703786191536,45,1,0,1,1,0,0,0,1,0,0,0,0,1,1
5435,40,191814,13,0.21287436311668945,40,1,-1902,1,0,1,0,0,1,0,0,0,0,1,1
29568,34,108247,15,0.32516703786191536,55,1,0,1,1,0,0,0,1,0,0,0,0,1,1
29216,40,196234,9,0.29697986577181207,40,0,0,0,0,0,0,1,0,0,1,0,0,1,0
47912,45,331482,13,0.21287436311668945,50,0,0,1,0,1,0,0,1,0,0,0,0,1,1
38881,51,207449,13,0.21287436311668945,55,0,0,1,0,1,0,0,1,0,0,0,0,1,1
24058,39,286789,16,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,1
23676,50,36480,6,0.32516703786191536,45,0,0,1,1,0,0,0,0,0,1,0,0,1,1
26055,34,344073,9,0.21287436311668945,40,1,0,1,0,1,0,0,0,0,1,0,0,1,1
3285,36,186531,9,0.21287436311668945,60,0,0,1,0,1,0,0,1,0,0,0,0,1,1
40113,27,90692,11,0.21287436311668945,40,0,0,0,0,1,0,0,0,1,0,0,1,0,0
29034,55,171015,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
33190,37,120130,14,0.32516703786191536,60,1,0,1,1,0,0,0,1,0,0,0,0,1,1
37416,69,106395,9,0.32516703786191536,40,1,0,1,1,0,0,0,1,0,0,0,0,1,1
25687,21,119309,10,0.21287436311668945,16,0,-1602,1,0,1,0,0,0,1,0,0,0,1,1
17443,33,114691,13,0.21287436311668945,60,1,0,1,0,1,0,0,1,0,0,0,0,1,1
34258,47,140219,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
41871,21,56582,10,0.32516703786191536,10,0,0,1,1,0,0,0,0,1,0,0,0,1,1
19445,41,173938,15,0.21287436311668945,50,1,0,0,0,1,0,0,1,0,0,0,0,1,1
38107,51,197656,10,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,1
26066,45,155664,3,0.32516703786191536,40,1,0,0,1,0,0,0,1,0,0,0,0,1,1
36387,52,38795,9,0.21287436311668945,40,1,0,1,0,1,0,0,0,0,1,0,0,1,1
38679,39,122011,14,0.32516703786191536,38,1,5178,1,1,0,0,0,1,0,0,0,0,1,0
614,51,128338,4,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
6309,31,116508,9,0.21287436311668945,48,0,0,1,0,1,0,0,1,0,0,0,0,1,1
8409,42,102988,14,0.21287436311668945,55,1,0,0,0,1,0,0,1,0,0,0,0,1,1
31271,52,254285,16,0.32516703786191536,70,1,-1887,0,1,0,0,0,1,0,0,0,0,1,1
44947,40,59460,10,0.32516703786191536,38,0,0,1,1,0,0,0,0,0,1,0,0,1,0
39360,38,168322,9,0.21287436311668945,60,0,0,1,0,1,0,0,1,0,0,0,0,1,1
9173,30,104052,9,0.21287436311668945,42,0,0,1,0,1,0,0,1,0,0,0,0,1,1
28242,38,129573,14,0.32516703786191536,40,1,0,1,1,0,0,0,0,1,0,0,0,1,1
28935,40,235371,11,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,1
29826,31,487742,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
7332,53,147629,12,0.3912087912087912,80,1,0,1,0,0,1,0,1,0,0,0,0,1,1
127,28,134813,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,1
12713,56,157786,13,0.21287436311668945,55,1,-1902,1,0,1,0,0,1,0,0,0,0,1,1
22500,46,175262,12,0.21287436311668945,40,0,0,0,0,1,0,0,1,0,0,0,1,0,1
12644,26,79089,13,0.32516703786191536,20,0,0,1,1,0,0,0,0,1,0,0,0,1,0
19498,59,160631,13,0.21287436311668945,60,1,0,1,0,1,0,0,1,0,0,0,0,1,1
7913,36,52532,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
35726,52,108914,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
6916,45,168191,10,0.21287436311668945,37,1,15024,1,0,1,0,0,1,0,0,0,0,1,1
15900,39,126569,10,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
20248,25,109009,7,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
17830,27,148069,6,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
23977,40,116103,10,0.21287436311668945,47,1,4934,1,0,1,0,0,0,0,1,0,0,1,1
15625,54,105428,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
44991,22,141028,9,0.21287436311668945,30,0,0,1,0,1,0,0,0,1,0,1,0,0,1
30517,39,34180,11,0.32516703786191536,60,1,0,1,1,0,0,0,1,0,0,0,0,1,1
2953,45,125892,14,0.21287436311668945,60,1,-1977,1,0,1,0,0,1,0,0,0,0,1,1
21166,45,142719,13,0.32516703786191536,40,1,0,1,1,0,0,0,1,0,0,0,0,1,1
30566,54,172898,15,0.32516703786191536,50,1,5178,1,1,0,0,0,1,0,0,0,0,1,1
2885,40,320451,13,0.21287436311668945,40,1,0,0,0,1,0,0,1,0,0,0,1,0,1
40490,60,195453,11,0.29697986577181207,60,1,0,1,0,0,0,1,1,0,0,0,0,1,1
39530,37,191364,12,0.29697986577181207,40,1,0,0,0,0,0,1,1,0,0,0,0,1,1
35914,57,197642,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
48169,21,199698,9,0.21287436311668945,45,0,0,1,0,1,0,0,0,1,0,0,0,1,1
36130,60,101096,16,0.21287436311668945,65,1,0,1,0,1,0,0,0,1,0,0,0,1,0
20167,35,361888,12,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
269,31,169085,7,0.21287436311668945,20,0,0,1,0,1,0,0,1,0,0,0,0,1,0
23683,30,176185,12,0.32516703786191536,60,0,0,0,1,0,0,0,1,0,0,0,0,1,1
4872,42,205195,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
28221,23,150683,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,1
3495,47,198223,9,0.3912087912087912,40,1,0,1,0,0,1,0,1,0,0,0,0,1,1
1141,42,29702,9,0.21287436311668945,42,1,0,1,0,1,0,0,1,0,0,0,0,1,1
44210,28,148429,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
29039,47,121836,14,0.21287436311668945,38,1,7688,1,0,1,0,0,1,0,0,0,0,1,0
25902,21,225890,10,0.21287436311668945,30,0,0,1,0,1,0,0,0,1,0,0,0,1,0
29331,19,202184,10,0.29697986577181207,15,0,0,1,0,0,0,1,0,1,0,0,0,1,1
5196,36,177154,11,0.21287436311668945,40,1,0,1,0,1,0,0,0,1,0,0,0,1,1
41052,27,287476,9,0.21287436311668945,40,0,3325,1,0,1,0,0,0,1,0,1,0,0,1
40774,52,400004,11,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
38972,49,139268,9,0.21287436311668945,40,1,7298,1,0,1,0,0,1,0,0,0,0,1,1
44737,32,210926,7,0.32516703786191536,40,0,0,0,1,0,0,0,0,0,1,0,0,1,0
19988,41,113555,10,0.21287436311668945,50,1,7298,1,0,1,0,0,1,0,0,0,1,0,1
36329,24,258298,11,0.21287436311668945,45,0,0,1,0,1,0,0,0,1,0,0,0,1,1
42325,42,177989,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
38402,54,91506,10,0.32516703786191536,65,0,0,1,1,0,0,0,1,0,0,0,0,1,1
16918,33,175697,13,0.21287436311668945,60,1,15024,1,0,1,0,0,1,0,0,0,0,1,1
34228,41,97632,10,0.21287436311668945,32,0,0,1,0,1,0,0,0,0,1,0,1,0,0
29319,58,214502,5,0.21287436311668945,50,1,0,1,0,1,0,0,1,0,0,0,0,1,1
1558,42,198282,13,0.32516703786191536,60,1,0,1,1,0,0,0,1,0,0,0,0,1,1
19130,21,85088,10,0.21287436311668945,37,0,0,1,0,1,0,0,0,1,0,0,0,1,0
19053,20,436253,10,0.21287436311668945,35,0,0,1,0,1,0,0,0,1,0,0,0,1,1
12319,32,240763,7,0.21287436311668945,45,0,0,1,0,1,0,0,0,0,1,1,0,0,1
23277,25,394503,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
5643,58,170608,6,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
47413,27,289039,10,0.29697986577181207,40,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3680,37,426350,13,0.21287436311668945,40,1,15024,1,0,1,0,0,1,0,0,0,0,1,1
26426,28,138692,13,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
28543,57,41762,9,0.21287436311668945,40,1,0,0,0,1,0,0,1,0,0,0,1,0,1
45785,36,306646,13,0.21287436311668945,55,1,0,1,0,1,0,0,1,0,0,0,0,1,1
11229,24,311311,13,0.21287436311668945,65,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1030,23,211345,10,0.21287436311668945,40,0,0,0,0,1,0,0,0,1,0,0,0,1,0
15953,30,177828,13,0.29697986577181207,40,0,0,1,0,0,0,1,0,0,1,0,0,1,1
5175,46,141221,13,0.21287436311668945,40,1,0,0,0,1,0,0,1,0,0,0,1,0,1
27455,44,302424,9,0.21287436311668945,55,0,0,1,0,1,0,0,0,0,1,0,0,1,1
16194,32,196125,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
25726,36,370156,9,0.21287436311668945,38,0,0,1,0,1,0,0,0,0,1,0,0,1,0
31062,48,140782,14,0.21287436311668945,38,1,-1902,1,0,1,0,0,1,0,0,0,0,1,0
30708,41,365986,9,0.32516703786191536,40,1,0,1,1,0,0,0,0,0,1,0,0,1,1
46877,34,178841,13,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,0
7875,36,117802,11,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
19243,42,121264,11,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
37859,44,163985,15,0.32516703786191536,32,1,0,1,1,0,0,0,1,0,0,0,0,1,1
14146,42,27661,12,0.21287436311668945,50,1,7298,1,0,1,0,0,1,0,0,0,0,1,1
23460,56,318329,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
43968,54,182187,11,0.21287436311668945,38,1,15024,0,0,1,0,0,1,0,0,1,0,0,1
16127,39,105813,9,0.21287436311668945,72,0,3908,1,0,1,0,0,1,0,0,0,0,1,1
13939,39,98975,13,0.21287436311668945,50,1,8614,1,0,1,0,0,0,1,0,0,0,1,0
941,48,153312,10,0.21287436311668945,60,1,0,1,0,1,0,0,1,0,0,1,0,0,1
1584,36,209993,3,0.21287436311668945,40,0,0,0,0,1,0,0,1,0,0,0,0,1,0
30244,66,197816,13,0.32516703786191536,40,1,10605,1,1,0,0,0,1,0,0,0,0,1,1
20484,55,163083,13,0.21287436311668945,45,1,14084,1,0,1,0,0,0,0,1,0,0,1,1
13917,38,176335,10,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
32549,36,408427,15,0.32516703786191536,60,1,0,1,1,0,0,0,1,0,0,0,0,1,1
4122,31,409172,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
8853,26,206721,13,0.21287436311668945,50,0,0,1,0,1,0,0,0,1,0,0,0,1,1
15188,23,215251,10,0.21287436311668945,55,0,0,1,0,1,0,0,0,1,0,0,0,1,0
11170,48,31267,9,0.32516703786191536,70,0,3411,1,1,0,0,0,1,0,0,0,0,1,1
40238,29,184723,10,0.3912087912087912,40,1,0,1,0,0,1,0,0,1,0,0,0,1,0
25121,53,118793,9,0.32516703786191536,40,0,0,1,1,0,0,0,1,0,0,0,0,1,1
10480,42,381581,9,0.32516703786191536,40,0,0,1,1,0,0,0,0,0,1,0,0,1,1
19661,28,208965,5,0.21287436311668945,40,0,0,0,0,1,0,0,0,1,0,0,1,0,1
29871,49,231961,16,0.32516703786191536,50,1,0,1,1,0,0,0,0,0,1,0,0,1,1
11580,57,354923,13,0.21287436311668945,45,0,0,1,0,1,0,0,0,0,1,0,0,1,0
19058,27,300777,9,0.32516703786191536,70,0,0,1,1,0,0,0,0,0,1,0,0,1,1
19622,57,268252,9,0.29697986577181207,62,0,0,1,0,0,0,1,0,0,1,0,0,1,0
15986,49,182541,6,0.21287436311668945,40,1,-1485,1,0,1,0,0,1,0,0,0,0,1,1
46932,45,341762,14,0.21287436311668945,65,1,0,1,0,1,0,0,1,0,0,0,0,1,1
5027,35,53553,10,0.21287436311668945,48,1,7298,1,0,1,0,0,1,0,0,0,0,1,1
14805,42,82161,9,0.32516703786191536,72,1,0,1,1,0,0,0,1,0,0,0,0,1,1
34126,37,196123,14,0.32516703786191536,70,1,0,1,1,0,0,0,1,0,0,0,0,1,1
35350,55,31728,10,0.3912087912087912,40,1,0,1,0,0,1,0,1,0,0,0,0,1,0
42567,50,338033,10,0.21287436311668945,32,0,0,1,0,1,0,0,0,1,0,0,0,1,1
19501,47,101926,13,0.32516703786191536,70,1,0,1,1,0,0,0,0,0,1,0,0,1,1
787,54,307973,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
18526,51,128143,10,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
39774,19,223648,9,0.21287436311668945,48,0,4101,1,0,1,0,0,0,1,0,0,0,1,1
30293,28,338376,10,0.21287436311668945,50,1,0,1,0,1,0,0,1,0,0,0,0,1,1
27827,46,137547,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,1,0,1
15826,52,357596,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,1
39463,59,128105,9,0.32516703786191536,35,0,0,1,1,0,0,0,1,0,0,0,0,1,1
